Account Address,Spent(ATOM),Purchased(ssDRAGON)
osmo1vncu6n7g0qm6k9a364la2mesmfjexamh4gm8cv,0.04,337.859154
osmo1t0gcjt3f2q7etxzj5ku8ynf5pcdzw9tc3wdu50,0.04,337.859154
osmo1zs9dl6yv3dalwl88sx6t3p3mprrhq8cdl5y3lm,0.04,337.859154
osmo1guujdx9samvwwekz7dcrq77e4ggpjkdvmpa5cc,0.04,337.859154
osmo144xas2mvvwxqk8rpldvjyalwta5hp7h3j5c69s,0.04,337.859154
osmo17mfuv9m0twhw0j7yxc3fnms399wae49kx4a20e,0.04,337.859154
osmo1fcxac3wxcfxfmp0z577g5awrnyq6xl952egq3m,0.04,337.859154
osmo1vjvnf2j2evcxh7h0fj7eevk3qfxay2q4l4mnlm,0.04,337.859154
osmo1ppuj9x33e6c4ee5axkdfdjavkpg2y6ms58v6nj,0.04,337.859154
osmo1cck4qq2us8evnf5wcstf4a8pwf5a96804vp84m,0.04,337.859154
osmo1rka7s5vs8uwagde3l95g0jfehkculh08uf22he,0.04,337.859154
osmo1ush77as278ed6nfu86tjw9fe5gl2a6lrt4h2uf,0.04,337.859154
osmo1faa270um7c4qn9d52v66cul4cjzg982pfe2kfl,0.04,337.859154
osmo1cgstmuhrwfj7durdzhmh5n65d3xav0erynxlm0,0.04,337.859154
osmo1phpdgyw0hupdu5fs66xxtwcf8yhrqjnrr5p8ys,0.04,337.859154
osmo1cclnz0xywcfgn7t6uhl46cxp683spvg2nz9lkz,0.04,337.859154
osmo1kx5a4ayn7utuy47n7xkmzdufx4v3rsqrsdh572,0.04,337.859154
osmo1tjp774e79uq7mnfjwuzc4astv2zqc3xx826xsj,0.04,337.859154
osmo13zfhtvhdlyyhgjnaggpmd427qmvj0mp9f5m8f5,0.04,337.859154
osmo1p6jhhlg7dtyapqy6apzjwsa2a55mq4j2p6v82p,0.04,337.859154
osmo1ry7pysmssuhat9lwujcuvq5x33pcfzylrt240v,0.04,337.859154
osmo1m9vyvr7kx4a4acjc88hthd7aah7mkjtypaqzam,0.04,337.859154
osmo1yhmqs9l6qrqz2638hnxvxglyjjv65cmzqwy4c3,0.04,337.859154
osmo1e8pnd9q7hdg390xp8xkq7gg82x3vvvh42kz0ye,0.04,337.859154
osmo16c6c0wy56ajy44krsv4l9pss9lwlr62v0h4cfn,0.04,337.859154
osmo176khpv8dnjsdr3svewdfcd660x6kzhmjt60kll,0.04,337.859154
osmo1alnh4p2ujzrcx7fcczm7v76pzv9kyzzm6jmz4n,0.04,337.859154
osmo1pr2le0sz9gsuaatms36dt9lv3ttumwlk4ghq9k,0.04,337.859154
osmo105dn07fhtjkp4s9ewzzywxcj7mhqdqcllpmatw,0.04,337.859154
osmo1nm4c044qjhcm65w2aluyvxygafpr5570up86cr,0.04,337.859154
osmo16dmhssd3ud0l50u3z6d4s59u2a3kkhyffaxamr,0.04,337.859154
osmo1kc7nyvy090dn4x843snl7f9t9pny60g2xs0dhd,0.04,337.859154
osmo1tyxhgmztx8m9jpp2qsvdz03cvgfqtu78mhrd2z,0.04,337.859154
osmo1a2khv425zeea52h2pdpwzvqtqer4c323sagy2u,0.04,337.859154
osmo1tmc04s7zrlrul96d7glmv65x8p837fmyjl2axu,0.04,337.859154
osmo10edakz42240kk556dyl9v6q2n5ev27r4mjrrgq,0.04,337.859154
osmo1vgnpqwsz4a4nzgp28qx5mx0g2jdq75tmf38yew,0.04,337.859154
